germanName,scientificName,region,scoreWindow,v4BasePoints,acousticBonus,v4Points,acousticClass,acousticReason
Mittelspecht,Dendrocoptes medius,SE-NORTH,may_aug,10,1,10,etwas Timing nötig,"Rufe sind ein wichtiger Nachweis, nach der intensivsten Balzphase aber nicht dauerhaft zu hören. Eine brauchbare Aufnahme braucht daher etwas Timing im passenden Laubwaldhabitat."
Mittelspecht,Dendrocoptes medius,SE-SOUTH,may_aug,6,1,7,etwas Timing nötig,"Rufe sind ein wichtiger Nachweis, nach der intensivsten Balzphase aber nicht dauerhaft zu hören. Eine brauchbare Aufnahme braucht daher etwas Timing im passenden Laubwaldhabitat."
Moorschneehuhn,Lagopus lagopus,NO,may_aug,3,1,4,etwas Timing nötig,"Moorschneehühner rufen in passenden Situationen, sind aber nicht dauerhaft akustisch aktiv. Der Bonus bleibt moderat, weil die Art in Norwegen regional gut erwartbar sein kann."
Mäusebussard,Buteo buteo,DE-NORTH,may_aug,3,1,4,etwas Timing nötig,"Der typische Ruf ist gut hörbar und wird besonders im Flug gegeben, aber längst nicht jeder beobachtete Bussard ruft. Daher nur ein moderater Akustikbonus."
Mönchsgrasmücke,Sylvia atricapilla,DK,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Nachtigall,Luscinia megarhynchos,DE-NORTH,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Nebelkrähe,Corvus cornix,DE-NORTH,may_aug,4,0,4,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Nebelkrähe,Corvus cornix,DK,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Neuntöter,Lanius collurio,DE-NORTH,may_aug,4,2,6,akustisch anspruchsvoll,Neuntöter sind deutlich unauffälliger als typische Singvögel; Rufe und leiser Gesang sind nicht bei jeder Beobachtung zu bekommen.
Pirol,Oriolus oriolus,DE-NORTH,may_aug,5,0,5,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Rabenkrähe,Corvus corone,DE-NORTH,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Rabenkrähe,Corvus corone,DK,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Raubseeschwalbe,Hydroprogne caspia,DE-SOUTH,may_aug,7,0,7,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Rauchschwalbe,Hirundo rustica,DK,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Ringelgans,Branta bernicla,DK,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Ringeltaube,Columba palumbus,DK,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Rohrammer,Emberiza schoeniclus,DK,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Rohrdommel,Botaurus stellaris,DK,may_aug,6,0,6,akustisch dankbar,Bei der Rohrdommel ist der weit tragende Balzruf in der Brutzeit gerade ein typischer Nachweisweg. Deshalb kein zusätzlicher Akustikbonus.
Rostgans,Tadorna ferruginea,DE-SOUTH,may_aug,4,1,5,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Rostgans,Tadorna ferruginea,DK,may_aug,5,1,6,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Rotdrossel,Turdus iliacus,DE-NORTH,sep_nov,4,0,4,akustisch dankbar,Während des Herbstzuges sind die charakteristischen Flug- und Kontaktrufe ein typischer Nachweisweg. Die Schwierigkeit liegt stärker im saisonalen Auftreten als in der Tonaufnahme selbst.
Rotdrossel,Turdus iliacus,SE-NORTH,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Rotkehlchen,Erithacus rubecula,DE-NORTH,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Rotkehlchen,Erithacus rubecula,DK,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Rotkehlpieper,Anthus cervinus,SE-CENTRAL,may_aug,5,1,6,etwas Timing nötig,"Außerhalb des engeren Brutgebiets wird die Art oft über kurze Flug- und Kontaktrufe bemerkt. Diese sind diagnostisch, aber eine verwertbare Aufnahme braucht Aufmerksamkeit und Timing."
Rotschenkel,Tringa totanus,DK,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Saatkrähe,Corvus frugilegus,DE-NORTH,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Sanderling,Calidris alba,DK,may_aug,4,1,5,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Sandregenpfeifer,Charadrius hiaticula,DK,may_aug,3,1,4,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Schafstelze,Motacilla flava,DK,may_aug,3,1,4,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Schilfrohrsänger,Acrocephalus schoenobaenus,DK,may_aug,4,0,4,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Schnatterente,Mareca strepera,DE-NORTH,may_aug,3,2,5,akustisch anspruchsvoll,Schnatterenten sind im Feld oft eher visuell als akustisch auffällig; ihre Rufe sind leise und situationsabhängig.
Schwanzmeise,Aegithalos caudatus,DE-NORTH,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Schwarzkehlchen,Saxicola rubicola,DK,may_aug,4,0,4,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Schwarzspecht,Dryocopus martius,DE-NORTH,may_aug,4,1,5,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Seidenschwanz,Bombycilla garrulus,SE-NORTH,may_aug,4,0,4,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Silbermöwe,Larus argentatus,DE-NORTH,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Singdrossel,Turdus philomelos,DE-NORTH,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Singdrossel,Turdus philomelos,DK,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Singschwan,Cygnus cygnus,SE-NORTH,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Sommergoldhähnchen,Regulus ignicapilla,DE-NORTH,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Sperber,Accipiter nisus,SE-SOUTH,may_aug,3,3,6,akustische Glückssache,"Sperber sind abseits des Brutplatzes oft still; Rufe häufen sich vor allem bei Brut, Alarm oder Fütterung. Eine zufällige Rufaufnahme ist deshalb ein klarer Zusatztreffer."
Star,Sturnus vulgaris,DE-NORTH,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Star,Sturnus vulgaris,DE-SOUTH,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Steinkauz,Athene noctua,DE-CENTRAL,may_aug,4,0,4,akustisch dankbar,Steinkäuze werden in geeigneten Revieren häufig akustisch entdeckt; die Stimme ist vor allem abends und nachts ein zentraler Nachweisweg. Die Schwierigkeit liegt stärker im regionalen Vorkommen als in der Aufnahme selbst.
Steinkauz,Athene noctua,DE-NORTH,may_aug,5,0,5,akustisch dankbar,Steinkäuze werden in geeigneten Revieren häufig akustisch entdeckt; die Stimme ist vor allem abends und nachts ein zentraler Nachweisweg. Die Schwierigkeit liegt stärker im regionalen Vorkommen als in der Aufnahme selbst.
Steinkauz,Athene noctua,DE-SOUTH,may_aug,5,0,5,akustisch dankbar,Steinkäuze werden in geeigneten Revieren häufig akustisch entdeckt; die Stimme ist vor allem abends und nachts ein zentraler Nachweisweg. Die Schwierigkeit liegt stärker im regionalen Vorkommen als in der Aufnahme selbst.
Steinkauz,Athene noctua,DK,may_aug,6,0,6,akustisch dankbar,Steinkäuze werden in geeigneten Revieren häufig akustisch entdeckt; die Stimme ist vor allem abends und nachts ein zentraler Nachweisweg. Die Schwierigkeit liegt stärker im regionalen Vorkommen als in der Aufnahme selbst.
Steinkauz,Athene noctua,FR-BFC,sep_nov,4,1,5,etwas Timing nötig,"Der Steinkauz ist in geeigneter Kulturlandschaft der Bourgogne-Franche-Comté lokal regelmäßig, aber keineswegs flächendeckend. Seine Rufe sind ein wichtiger Nachweisweg, im Frühherbst jedoch nicht bei jeder Begegnung garantiert."
Steinkauz,Athene noctua,NO,may_aug,10,0,10,akustisch dankbar,Steinkäuze werden in geeigneten Revieren häufig akustisch entdeckt; die Stimme ist vor allem abends und nachts ein zentraler Nachweisweg. Die Schwierigkeit liegt stärker im regionalen Vorkommen als in der Aufnahme selbst.
Steinkauz,Athene noctua,SE-CENTRAL,may_aug,9,0,9,akustisch dankbar,Steinkäuze werden in geeigneten Revieren häufig akustisch entdeckt; die Stimme ist vor allem abends und nachts ein zentraler Nachweisweg. Die Schwierigkeit liegt stärker im regionalen Vorkommen als in der Aufnahme selbst.
Steinkauz,Athene noctua,SE-NORTH,may_aug,10,0,10,akustisch dankbar,Steinkäuze werden in geeigneten Revieren häufig akustisch entdeckt; die Stimme ist vor allem abends und nachts ein zentraler Nachweisweg. Die Schwierigkeit liegt stärker im regionalen Vorkommen als in der Aufnahme selbst.
Steinkauz,Athene noctua,SE-SOUTH,may_aug,8,0,8,akustisch dankbar,Steinkäuze werden in geeigneten Revieren häufig akustisch entdeckt; die Stimme ist vor allem abends und nachts ein zentraler Nachweisweg. Die Schwierigkeit liegt stärker im regionalen Vorkommen als in der Aufnahme selbst.
Steinschmätzer,Oenanthe oenanthe,DK,may_aug,4,1,5,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Sterntaucher,Gavia stellata,SE-NORTH,may_aug,4,1,5,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Stieglitz,Carduelis carduelis,DK,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Stockente,Anas platyrhynchos,DE-NORTH,may_aug,1,1,2,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Stockente,Anas platyrhynchos,DK,may_aug,1,1,2,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Sturmmöwe,Larus canus,DK,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Sumpfmeise,Poecile palustris,DE-NORTH,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Sumpfrohrsänger,Acrocephalus palustris,DK,may_aug,4,0,4,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Säbelschnäbler,Recurvirostra avosetta,DK,may_aug,4,1,5,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Tannenmeise,Periparus ater,DK,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Teichhuhn,Gallinula chloropus,DE-NORTH,may_aug,3,1,4,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Teichrohrsänger,Acrocephalus scirpaceus,DK,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Trauerschnäpper,Ficedula hypoleuca,SE-CENTRAL,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Turmfalke,Falco tinnunculus,DE-CENTRAL,may_aug,2,2,4,akustisch anspruchsvoll,"Turmfalken rufen besonders an Brutplätzen, bei Alarm und Interaktionen. Ein normaler Sichtkontakt führt deutlich seltener automatisch zu einer Aufnahme."
Turmfalke,Falco tinnunculus,DE-SOUTH,may_aug,3,2,5,akustisch anspruchsvoll,"Turmfalken rufen besonders an Brutplätzen, bei Alarm und Interaktionen. Ein normaler Sichtkontakt führt deutlich seltener automatisch zu einer Aufnahme."
Turmfalke,Falco tinnunculus,DK,may_aug,3,2,5,akustisch anspruchsvoll,"Turmfalken rufen besonders an Brutplätzen, bei Alarm und Interaktionen. Ein normaler Sichtkontakt führt deutlich seltener automatisch zu einer Aufnahme."
Türkentaube,Streptopelia decaocto,DK,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Uferschnepfe,Limosa limosa,DK,may_aug,4,1,5,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Uferschwalbe,Riparia riparia,NO,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Uferschwalbe,Riparia riparia,SE-NORTH,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Wacholderdrossel,Turdus pilaris,SE-NORTH,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Waldbaumläufer,Certhia familiaris,SE-CENTRAL,may_aug,2,1,3,etwas Timing nötig,"Waldbaumläufer rufen regelmäßig, die hohen und kurzen Lautäußerungen sind aber weniger auffällig als bei vielen Singvögeln. Für eine gute Aufnahme ist etwas Nähe und Timing hilfreich."
Waldkauz,Strix aluco,DE-CENTRAL,may_aug,3,0,3,akustisch dankbar,Waldkäuze werden sehr häufig gerade über ihre Stimme gefunden. Akustik ist hier kein zusätzlicher Schwierigkeitsfaktor.
Waldkauz,Strix aluco,DE-NORTH,sep_nov,3,0,3,akustisch dankbar,Der Herbst gehört zu den typischen Rufphasen des Waldkauzes; Revier- und Kontaktrufe sind dann ein zentraler Nachweisweg. Deshalb kein zusätzlicher Akustikbonus.
Waldkauz,Strix aluco,DK,may_aug,3,0,3,akustisch dankbar,Waldkäuze werden sehr häufig gerade über ihre Stimme gefunden. Akustik ist hier kein zusätzlicher Schwierigkeitsfaktor.
Waldlaubsänger,Phylloscopus sibilatrix,DE-NORTH,may_aug,5,0,5,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Waldohreule,Asio otus,SE-SOUTH,may_aug,5,2,7,akustisch anspruchsvoll,"Bei Waldohreulen sind erwachsene Tiere außerhalb konkreter Balz-, Brut- oder Alarmkontexte oft zurückhaltend; akustische Nachweise sind stark situationsabhängig."
Waldschnepfe,Scolopax rusticola,SE-NORTH,may_aug,4,1,5,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Waldwasserläufer,Tringa ochropus,SE-NORTH,may_aug,3,1,4,etwas Timing nötig,"Die Art ruft oder singt regelmäßig, aber nicht bei jeder Begegnung. Für eine brauchbare Aufnahme braucht es etwas Timing."
Wasserralle,Rallus aquaticus,DE-NORTH,sep_nov,4,0,4,akustisch dankbar,"Die Wasserralle lebt sehr verborgen, wird aber häufig gerade über ihre markanten Rufe festgestellt. Für BirdLeague ist die Akustik deshalb kein zusätzlicher Nachteil gegenüber einem Sichtnachweis."
Weidenmeise,Poecile montanus,SE-NORTH,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Weißwangengans,Branta leucopsis,SE-NORTH,may_aug,4,0,4,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Wiesenpieper,Anthus pratensis,DK,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Wintergoldhähnchen,Regulus regulus,DE-NORTH,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Wintergoldhähnchen,Regulus regulus,DK,may_aug,3,0,3,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Zaunkönig,Troglodytes troglodytes,DK,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Zilpzalp,Phylloscopus collybita,DK,may_aug,1,0,1,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Zwergschnäpper,Ficedula parva,DE-NORTH,may_aug,8,0,8,akustisch dankbar,In der Brutzeit ist die Art bei Anwesenheit typischerweise regelmäßig und gut hörbar; der Ton-Nachweis ist meist kein zusätzlicher Engpass.
Zwergtaucher,Tachybaptus ruficollis,DE-CENTRAL,may_aug,3,0,3,akustisch dankbar,"Der trillernde Balz- und Kontaktruf ist in der Brutzeit oft der auffälligste Nachweis. Wenn Zwergtaucher anwesend und aktiv sind, ist eine Tonaufnahme meist kein zusätzlicher Engpass."
Zwergtaucher,Tachybaptus ruficollis,DE-NORTH,may_aug,3,0,3,akustisch dankbar,"Der trillernde Balz- und Kontaktruf ist in der Brutzeit oft der auffälligste Nachweis. Wenn Zwergtaucher anwesend und aktiv sind, ist eine Tonaufnahme meist kein zusätzlicher Engpass."
Zwergtaucher,Tachybaptus ruficollis,DE-SOUTH,may_aug,3,0,3,akustisch dankbar,"Der trillernde Balz- und Kontaktruf ist in der Brutzeit oft der auffälligste Nachweis. Wenn Zwergtaucher anwesend und aktiv sind, ist eine Tonaufnahme meist kein zusätzlicher Engpass."
Zwergtaucher,Tachybaptus ruficollis,DK,may_aug,4,0,4,akustisch dankbar,"Der trillernde Balz- und Kontaktruf ist in der Brutzeit oft der auffälligste Nachweis. Wenn Zwergtaucher anwesend und aktiv sind, ist eine Tonaufnahme meist kein zusätzlicher Engpass."
Zwergtaucher,Tachybaptus ruficollis,FR-BFC,sep_nov,2,2,4,akustisch anspruchsvoll,"Im Frühherbst ist der Zwergtaucher an geeigneten Gewässern regional nicht außergewöhnlich, aber außerhalb der intensivsten Balzphase deutlich weniger verlässlich ruffreudig. Für eine verwertbare Tonaufnahme braucht es daher mehr Timing."
Zwergtaucher,Tachybaptus ruficollis,NO,may_aug,6,0,6,akustisch dankbar,"Der trillernde Balz- und Kontaktruf ist in der Brutzeit oft der auffälligste Nachweis. Wenn Zwergtaucher anwesend und aktiv sind, ist eine Tonaufnahme meist kein zusätzlicher Engpass."
Zwergtaucher,Tachybaptus ruficollis,SE-CENTRAL,may_aug,5,0,5,akustisch dankbar,"Der trillernde Balz- und Kontaktruf ist in der Brutzeit oft der auffälligste Nachweis. Wenn Zwergtaucher anwesend und aktiv sind, ist eine Tonaufnahme meist kein zusätzlicher Engpass."
Zwergtaucher,Tachybaptus ruficollis,SE-NORTH,may_aug,6,0,6,akustisch dankbar,"Der trillernde Balz- und Kontaktruf ist in der Brutzeit oft der auffälligste Nachweis. Wenn Zwergtaucher anwesend und aktiv sind, ist eine Tonaufnahme meist kein zusätzlicher Engpass."
Zwergtaucher,Tachybaptus ruficollis,SE-SOUTH,may_aug,4,0,4,akustisch dankbar,"Der trillernde Balz- und Kontaktruf ist in der Brutzeit oft der auffälligste Nachweis. Wenn Zwergtaucher anwesend und aktiv sind, ist eine Tonaufnahme meist kein zusätzlicher Engpass."
